ID,YEAR,T2M_RANGE,T2M_MAX,T2M_MIN,RH2M,PS,WS10M,QV2M,T2M,VACATION_RATE
0,1982.0,-241.55243039879764,29.798545196257603,13.691127556978083,71.65293422789063,89.72506858622587,3.6589590778558403,8.474319183656926,21.723403455378737,64.18474085471027
1,1982.0,-241.81999747797516,30.902708191967502,15.298046109563286,69.7549325534739,89.86566834581595,3.529113259488059,8.988374185276035,22.91152201721052,42.64913686751044
2,1982.0,-241.88320171411763,30.29656093001207,14.660419348456191,66.66141644308975,89.84627291369601,4.21700670189159,8.474923004669883,22.994886920753288,52.81914124347058
3,1982.0,-242.0076291665741,30.803224451401004,15.246491237912103,67.62117250773062,90.02979469698056,4.484079727966361,9.005508016005292,23.594655242096817,39.44548857462283
4,1982.0,-240.65933244943483,32.50090603171586,15.303059005726947,62.09732900392098,89.82570725817041,3.057210877394338,8.307515320054273,24.53677592792588,46.44428886409124
5,1982.0,-239.536918961753,34.364785213991325,15.924114471772436,57.19558310601913,89.76471231770317,3.709699795135095,8.521317876424606,26.43105593570731,29.49560974230402
6,1982.0,-238.24125970820594,36.28022860806016,16.369742004981536,43.727804712574354,89.59685925470363,3.3061893798686115,6.9309135177623595,27.644043915486627,56.122047105425615
7,1982.0,-236.82727361271918,37.816279758395744,16.32176628965236,39.742550919047424,89.58186812714204,4.085289291571403,6.192132084782107,28.816825687388306,71.96891608949852
8,1982.0,-238.4792250734396,37.55056614613,17.790098604483582,41.22017154186395,89.74102632230398,3.7052740906988553,7.097214408399875,29.751383923658572,42.07272517102987
9,1982.0,-239.74172235251405,39.442054272991044,20.77727256878932,36.68870608310499,89.70426545257753,2.7807460297131845,7.624566430845247,32.359797712461415,19.738868850832592
10,1982.0,-238.03415786317433,39.85384935960502,19.73917638159939,34.99057807718266,89.70545930654454,3.8798618471599333,6.62287779246445,31.839203840986766,38.909419100199564
11,1982.0,-238.58307651135354,39.34117654718477,19.77817073670552,34.65997397785517,89.58108086327218,3.909116550221146,6.735590201744194,31.728958601625138,34.21002832111297
12,1982.0,-239.51646753800577,40.344529771802065,21.903261604438853,41.5052245459849,89.65986270235852,4.043335654161352,8.835150399523926,33.398552372945765,0.4865777325702782
13,1982.0,-239.2786283169837,41.039351952383214,22.312395335872186,36.39275363553813,89.65357689165883,3.9405870440751363,8.051943357054473,34.113249526860486,3.7713746713358938
14,1982.0,-239.95013892751743,40.259054456674185,22.22107081137824,40.378343768196444,89.46823741567877,3.7040851078535906,8.347883089785613,33.14070758774542,3.072962192167587
15,1982.0,-243.5835025744141,38.16696351056655,24.360237017600227,49.510689903799715,89.46741592098083,2.553855013056871,11.115052254845153,33.165128001496115,15.746793442899792
16,1982.0,-243.66694336951633,36.728917186103494,23.344182991364878,56.95741729713411,89.58520493247605,2.492685180337849,11.50678918613899,31.787098684475,19.129133247911888
17,1982.0,-245.71541222255743,33.75737618483188,22.213312864450128,69.4608279396233,89.58222479888185,2.9879311731168605,13.37354237875313,29.692389793487074,32.69903932000375
18,1982.0,-243.7095748989079,35.8460663666601,22.06552079048631,61.81107480226612,89.46155526138317,2.431660024832827,12.562604608369092,30.896227129747594,26.413020377277146
19,1982.0,-244.33162508141334,34.508228018190074,21.433617915266755,66.0607361420101,89.77741533514411,2.9030693712569073,12.389708463082286,29.702684430747777,13.95627591907241
20,1982.0,-243.190342245998,36.76629061193591,22.063151020324003,59.59830737692381,89.25063334354655,3.075926090975767,11.947981173881605,31.156306377983682,16.5627698968925
21,1982.0,-247.9573048828785,31.417483213190962,22.45136864771942,79.45761123460439,89.28544235497615,5.004277456173358,14.32377051042539,28.00354225252037,35.17832588694098
22,1982.0,-248.7517012284556,30.14231168068561,22.14699939014966,82.57632111171162,89.21407822951011,5.112939961622284,14.577408693598347,27.29541611197419,30.524526402412622
23,1982.0,-248.80389227630815,27.99363022674232,20.165943370091576,83.4790306524113,89.3771386653276,6.439802322474438,12.991504029196262,25.279366786557002,1.6361708690184946
24,1982.0,-248.01985106259204,28.07109598083436,19.345993049127785,80.60056289916491,89.56177024049008,6.462706897539961,12.219783672937584,24.787175404532828,0.11610918246566218
25,1982.0,-246.42809380129836,30.3192260340814,19.781155106041187,76.50550009228776,89.34791719884413,5.1368728485719455,12.244368946936106,26.280761456844786,0.4283037436759288
26,1982.0,-246.63545764999586,31.31794910179188,20.818550479881786,77.15007832805706,89.33297414867151,5.737839021258088,13.125976687644604,26.978965092798745,10.15332939671294
27,1982.0,-247.8464118315059,28.776467608799702,20.044344620962146,81.5463809952698,89.47450372213913,6.140493236745494,12.920418964825812,25.38381194170746,1.5910411536216567
28,1982.0,-248.03945386297374,28.68681954032028,19.800122679682566,80.31314081798857,89.20056135418147,7.289951524286165,12.74910373149719,25.575232853322742,0.37463690739713007
29,1982.0,-247.7999949511031,29.38880790662873,20.61629574138471,81.87829738638274,89.21907019731027,5.831624149320241,13.51156926898928,25.960292738596394,5.514569998927189
30,1982.0,-247.6932700761151,29.39420487360452,20.33051303431448,82.08814201534045,89.40020979272394,5.727860503161782,13.329806892760622,26.16197367267114,6.865049428457075
31,1982.0,-247.90544644633306,29.02638684670569,20.413528577150647,82.3868353043188,89.41592490326182,6.905394878236788,13.053881267739115,25.718684244035728,2.8933836844545886
32,1982.0,-247.0040394804143,29.236776478517278,19.349198488256132,81.46305802269866,89.35104395538198,6.747940324474727,12.5179396198301,25.118807845993807,0.3439207676510881
33,1982.0,-246.15952042160873,30.968805990697007,20.11486878917064,78.56874418589189,89.39063965715629,6.29877018531285,13.005027549641671,26.40555744075662,3.9202394303232144
34,1982.0,-244.34844074298283,32.77875059159368,20.207910324234057,73.36702754810008,89.43557202331569,4.985778283401778,12.481044648151572,27.376272337303725,4.632149486349036
35,1982.0,-244.08579786963807,32.852384421270706,19.58606148398564,70.58184184339177,89.55828456024697,5.958339391661606,11.768173467961239,27.05500502265243,0.362904852656627
36,1982.0,-245.42691846293806,31.747442502448806,20.121070433739156,75.51038483461313,89.4016708043962,3.7231171291232092,12.79478062666874,27.206025943016222,6.180781807643369
37,1982.0,-247.994818836777,29.39965290799925,20.54137116893331,84.41164238539955,89.50911206541163,3.6160893163646692,13.639456031288178,26.267311586030946,11.867052279663381
38,1982.0,-246.25056001446794,29.43199752710732,18.599265437220794,79.28881335037785,89.58944964474466,2.9754736582239065,11.994700600772756,25.201100596280277,0.08634643039751534
39,1982.0,-246.05333534454184,29.767469732254522,19.08041466328726,76.90314110567172,89.92557078244059,2.7138461011274697,12.10711992884387,25.581454691605565,-0.0614523616273611
